"url","flag_image","country","last_year_population","country_area","country_land_area","country_density (/km²)","population_world_percentage","country_population_rank","population_by_year","annual_population_growth","births_per_day","deaths_per_day","emigrations_per_day","net_change_per_day","population_change","capital","continent","regions","larget_cities","abbreviation"
"https://worldpopulationreview.com/countries/micronesia","https://worldpopulationreview.com/images/country-flags/png100/fm.png","Micronesia",,,,,,196,,"500 0.45%",7,2,3,2,"16","Palikir","Oceania","[""Micronesia""]","[""Weno""]","FSM"
"https://worldpopulationreview.com/countries/saint-barthelemy","https://worldpopulationreview.com/images/country-flags/png100/bl.png","Saint-barthelemy",,,,,,228,,"136 1.42%",,,,,,"Gustavia","North America","[""Caribbean"",""Latin America""]","[""Gustavia""]","BLM"
"https://worldpopulationreview.com/countries/czechia","https://worldpopulationreview.com/images/country-flags/png100/cz.png","Czech-republic",,,,,,92,,"-81.4K -0.01%",228,322,,57,"456","Prague","Europe","[""Eastern Europe""]","[""Prague"",""Brno"",""Ostrava""]","CZE"
"https://worldpopulationreview.com/countries/tanzania","https://worldpopulationreview.com/images/country-flags/png100/tz.png","Tanzania",,,,,,20,,"2M 2.92%",6734,1111,69,5554,"44432","Dodoma","Africa","[""Eastern Africa"",""Sub-Saharan Africa""]","[""Dar es Salaam"",""Mwanza"",""Zanzibar""]","TZA"
"https://worldpopulationreview.com/countries/uzbekistan","https://worldpopulationreview.com/images/country-flags/png100/uz.png","Uzbekistan",,,,,,43,,"670.8K 1.96%",2449,626,12,1811,"14488","Tashkent","Asia","[""Central Asia"",""South Central Asia""]","[""Tashkent"",""Samarkand"",""Namangan""]","UZB"
"https://worldpopulationreview.com/countries/switzerland","https://worldpopulationreview.com/images/country-flags/png100/ch.png","Switzerland",,,,,,100,,"40.4K 0.68%",221,211,,103,"824","Bern","Europe","[""Western Europe""]","[""Zurich"",""Geneva"",""Basel""]","CHE"
"https://worldpopulationreview.com/countries/tonga","https://worldpopulationreview.com/images/country-flags/png100/to.png","Tonga",,,,,,199,,"-451 -0.42%",6,2,6,2,"16","Nuku'alofa","Oceania","[""Polynesia""]","[""Nuku'alofa""]","TON"
"https://worldpopulationreview.com/countries/syria","https://worldpopulationreview.com/images/country-flags/png100/sy.png","Syria",,,,,,57,,"852.1K 4.12%",1711,345,,2203,"17624","Damascus","Asia","[""Western Asia"",""The Middle East""]","[""Damascus"",""Aleppo"",""Homs""]","SYR"
"https://worldpopulationreview.com/countries/ireland","https://worldpopulationreview.com/images/country-flags/png100/ie.png","Ireland",,,,,,125,,"48.9K 1.27%",144,103,,129,"1032","Dublin","Europe","[""Northern Europe""]","[""Dublin"",""Cork"",""Dun Laoghaire""]","IRL"
"https://worldpopulationreview.com/countries/canada","https://worldpopulationreview.com/images/country-flags/png100/ca.png","Canada",,,,,,38,,"341K 1.03%",989,907,,880,"7040","Ottawa","North America","[""Northern America""]","[""Toronto"",""Montreal"",""Vancouver""]","CAN"
"https://worldpopulationreview.com/countries/armenia","https://worldpopulationreview.com/images/country-flags/png100/am.png","Armenia",,,,,,140,,"-21.4K 0.42%",92,76,74,58,"464","Yerevan","Asia","[""Western Asia""]","[""Yerevan"",""Gyumri"",""Vanadzor""]","ARM"
"https://worldpopulationreview.com/countries/jamaica","https://worldpopulationreview.com/images/country-flags/png100/jm.png","Jamaica",,,,,,142,,"-3.7K -0.03%",86,66,32,12,"96","Kingston","North America","[""Caribbean""]","[""Kingston"",""New Kingston"",""Spanish Town""]","JAM"
"https://worldpopulationreview.com/countries/colombia","https://worldpopulationreview.com/images/country-flags/png100/co.png","Colombia",,,,,,28,,"510.6K 1.05%",1875,834,,1358,"10864","Bogotá","South America","[""South America"",""Latin America""]","[""Bogota"",""Medellin"",""Cali""]","COL"
"https://worldpopulationreview.com/countries/senegal","https://worldpopulationreview.com/images/country-flags/png100/sn.png","Senegal",,,,,,68,,"434.5K 2.38%",1518,285,37,1196,"9568","Dakar","Africa","[""Western Africa"",""Sub-Saharan Africa""]","[""Dakar"",""Pikine"",""Touba""]","SEN"
"https://worldpopulationreview.com/countries/burundi","https://worldpopulationreview.com/images/country-flags/png100/bi.png","Burundi",,,,,,78,,"339.2K 2.58%",1291,265,96,930,"7440","Bujumbura","Africa","[""Eastern Africa"",""Sub-Saharan Africa""]","[""Bujumbura"",""Muyinga"",""Ruyigi""]","BDI"
"https://worldpopulationreview.com/countries/chile","https://worldpopulationreview.com/images/country-flags/png100/cl.png","Chile",,,,,,67,,"85.9K 0.5%",463,369,,226,"1808","Santiago","South America","[""South America"",""Latin America""]","[""Santiago"",""Valparaiso"",""Concepcion""]","CHL"
"https://worldpopulationreview.com/countries/andorra","https://worldpopulationreview.com/images/country-flags/png100/ad.png","Andorra",,,,,,203,,"849 1.34%",2,1,,3,"24","Andorra la Vella","Europe","[""Southern Europe""]","[""Andorra la Vella"",""les Escaldes"",""Encamp""]","AND"
"https://worldpopulationreview.com/countries/libya","https://worldpopulationreview.com/images/country-flags/png100/ly.png","Libya",,,,,,105,,"81.3K 1.11%",326,102,,231,"1848","Tripoli","Africa","[""Northern Africa""]","[""Tripoli"",""Misratah"",""Benghazi""]","LBY"
"https://worldpopulationreview.com/countries/bosnia-and-herzegovina","https://worldpopulationreview.com/images/country-flags/png100/ba.png","Bosnia-and-herzegovina",,,,,,138,,"-25.9K -0.82%",66,117,21,72,"576","Sarajevo","Europe","[""Southern Europe""]","[""Sarajevo"",""Banja Luka"",""Zenica""]","BIH"
"https://worldpopulationreview.com/countries/saudi-arabia","https://worldpopulationreview.com/images/country-flags/png100/sa.png","Saudi-arabia",,,,,,47,,"599.5K 2.34%",1555,224,,1628,"13024","Riyadh","Asia","[""Western Asia"",""The Middle East""]","[""Riyadh"",""Jeddah"",""Mecca""]","SAU"
"https://worldpopulationreview.com/countries/north-korea","https://worldpopulationreview.com/images/country-flags/png100/kp.png","North-korea",,,,,,56,,"62.7K 0.3%",899,733,8,158,"1264","Pyongyang","Asia","[""Eastern Asia""]","[""Pyongyang"",""Chongjin"",""Hamhung""]","PRK"
"https://worldpopulationreview.com/countries/kyrgyzstan","https://worldpopulationreview.com/images/country-flags/png100/kg.png","Kyrgyzstan",,,,,,106,,"105.4K 1.65%",407,123,0,284,"2272","Bishkek","Asia","[""Central Asia"",""South Central Asia""]","[""Bishkek"",""Osh"",""Jalal-Abad""]","KGZ"
"https://worldpopulationreview.com/countries/netherlands","https://worldpopulationreview.com/images/country-flags/png100/nl.png","Netherlands",,,,,,71,,"102K 0.8%",482,469,,258,"2064","Amsterdam","Europe","[""Western Europe""]","[""Amsterdam"",""Rotterdam"",""The Hague""]","NLD"
"https://worldpopulationreview.com/countries/iceland","https://worldpopulationreview.com/images/country-flags/png100/is.png","Iceland",,,,,,179,,"4.1K 1.54%",12,7,,11,"88","Reykjavik","Europe","[""Northern Europe""]","[""Reykjavik"",""Kopavogur"",""Hafnarfjoerdur""]","ISL"
"https://worldpopulationreview.com/countries/yemen","https://worldpopulationreview.com/images/country-flags/png100/ye.png","Yemen",,,,,,37,,"1.2M 2.96%",3852,544,61,3247,"25976","Sanaa","Asia","[""Western Asia"",""The Middle East""]","[""Sanaa"",""Aden"",""Ibb""]","YEM"
"https://worldpopulationreview.com/countries/cape-verde","https://worldpopulationreview.com/images/country-flags/png100/cv.png","Cape-verde",,,,,,175,,"2.3K 0.5%",17,8,4,5,"40","Praia","Africa","[""Western Africa"",""Sub-Saharan Africa""]","[""Praia"",""Mindelo"",""Santa Maria""]","CPV"
"https://worldpopulationreview.com/countries/poland","https://worldpopulationreview.com/images/country-flags/png100/pl.png","Poland",,,,,,42,,"-297.7K -0.1%",776,1148,22,394,"3152","Warsaw","Europe","[""Eastern Europe""]","[""Warsaw"",""Krakow"",""Lodz""]","POL"
"https://worldpopulationreview.com/countries/mauritania","https://worldpopulationreview.com/images/country-flags/png100/mr.png","Mauritania",,,,,,123,,"146.3K 2.9%",496,78,16,402,"3216","Nouakchott","Africa","[""Western Africa"",""Sub-Saharan Africa""]","[""Nouakchott"",""Nouadhibou"",""Nema""]","MRT"
"https://worldpopulationreview.com/countries/brazil","https://worldpopulationreview.com/images/country-flags/png100/br.png","Brazil",,,,,,7,,"751K 0.38%",6825,4288,563,1974,"15792","Brasília","South America","[""South America"",""Latin America""]","[""Sao Paulo"",""Rio de Janeiro"",""Belo Horizonte""]","BRA"
"https://worldpopulationreview.com/countries/new-caledonia","https://worldpopulationreview.com/images/country-flags/png100/nc.png","New-caledonia",,,,,,185,,"2.6K 0.87%",11,5,,7,"56","Nouméa","Oceania","[""Melanesia""]","[""Noumea"",""Mont-Dore"",""Dumbea""]","NCL"
